iter	RMSE
0	14.83869761
1	14.04679628
2	13.32539772
3	12.75850282
4	12.21335944
5	11.65313273
6	11.18480058
7	10.70166176
8	10.31160981
9	9.891296268
10	9.532023279
11	9.19885088
12	8.830564446
13	8.539221405
14	8.227836756
15	7.922298529
16	7.658735706
17	7.436073554
18	7.226817174
19	7.060029703
20	6.866323163
21	6.720864445
22	6.553334826
23	6.381615785
24	6.235911457
25	6.1129416
26	6.016460397
27	5.914174254
28	5.773679582
29	5.646106028
30	5.535853246
31	5.454425746
32	5.367189269
33	5.287718079
34	5.209768023
35	5.172839991
36	5.115052512
37	5.063707772
38	5.013420582
39	4.964156903
40	4.91663628
41	4.883934824
42	4.830731812
43	4.803490109
44	4.754219419
45	4.711708799
46	4.659957327
47	4.615791109
48	4.582379322
49	4.553016016
50	4.522119879
51	4.494476196
52	4.45763132
53	4.424814632
54	4.380343636
55	4.363613722
56	4.337853388
57	4.310929181
58	4.287955513
59	4.260842266
60	4.244828723
61	4.233846945
62	4.204851313
63	4.165939368
64	4.153629768
65	4.122410682
66	4.114706644
67	4.091019646
68	4.062393998
69	4.030193283
70	4.010234848
71	3.983070807
72	3.960029633
73	3.947279577
74	3.934522171
75	3.890280069
76	3.872675771
77	3.864596238
78	3.822706729
79	3.815923984
80	3.791383949
81	3.777039813
82	3.77258028
83	3.757579736
84	3.744458945
85	3.735199155
86	3.716487588
87	3.690035349
88	3.657381314
89	3.619493031
90	3.573891058
91	3.55518785
92	3.51347931
93	3.487338571
94	3.473907082
95	3.457399454
96	3.43404703
97	3.425617063
98	3.412445356
99	3.402421315
