iter	Passed	Remaining
0	1	194
1	3	186
2	5	169
3	6	159
4	8	153
5	9	150
6	10	144
7	12	140
8	13	137
9	15	135
10	16	132
11	17	129
12	19	127
13	20	125
14	22	125
15	24	126
16	25	124
17	26	122
18	28	121
19	29	119
20	31	118
21	33	118
22	34	116
23	36	114
24	37	112
25	38	109
26	39	107
27	41	105
28	42	103
29	43	100
30	44	99
31	45	97
32	47	95
33	48	93
34	49	91
35	50	90
36	52	88
37	53	87
38	54	85
39	56	84
40	57	82
41	58	81
42	59	79
43	60	77
44	61	75
45	63	74
46	64	72
47	65	70
48	66	69
49	68	68
50	69	67
51	71	65
52	72	64
53	74	63
54	75	61
55	76	59
56	77	58
57	78	56
58	79	55
59	80	53
60	81	52
61	82	50
62	83	49
63	84	47
64	85	46
65	87	44
66	88	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	97	30
76	98	29
77	99	27
78	99	26
79	101	25
80	102	23
81	103	22
82	104	21
83	105	20
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
